,inspectionidnumber,dateofinspection,businessname,fulladdress,inspectiontype,inspectionscore,latitude,longitude
16873,252930,2018/08/07,EL JEFE COZINA & BAR,5309 LYNDALE AVE S,Follow-Up,98,44.90616,-93.28761
16859,252929,2019/06/12,EL JEFE COZINA & BAR,5309 LYNDALE AVE S,Routine,84,44.90616,-93.28761
16877,313817,2019/07/23,EL JEFE COZINA & BAR,5309 LYNDALE AVE S,Follow-Up,98,44.90616,-93.28761
16842,203713,2017/09/19,EL JEFE REDEFINING MEXICAN CUISINE,5309 LYNDALE AVE S,Routine,96,44.90616,-93.28761
16846,226775,2018/09/28,EL JEFE REDEFINING MEXICAN CUISINE,5309 LYNDALE AVE S,Routine,100,44.90616,-93.28761
16847,274046,2019/08/01,EL JEFE REDEFINING MEXICAN CUISINE,5309 LYNDALE AVE S,Routine,100,44.90616,-93.28761
17509,26497,2017/10/31,EL NORTENO MARKET & DELI,4000 LAKE ST E,Routine,96,44.94859,-93.21503
17522,232482,2017/12/27,EL NORTENO MARKET & DELI,4000 LAKE ST E,Follow-Up,98,44.94859,-93.21503
17516,232481,2018/11/13,EL NORTENO MARKET & DELI,4000 LAKE ST E,Routine,90,44.94859,-93.21503
17534,279494,2018/11/14,EL NORTENO MARKET & DELI,4000 LAKE ST E,Follow-Up,94,44.94859,-93.21503
17527,279493,2019/11/13,EL NORTENO MARKET & DELI,4000 LAKE ST E,Routine,92,44.94859,-93.21503
19268,26523,2017/07/26,EL NUEVO MARIACHI,2728 NICOLLET AVE,Routine,74,44.95275,-93.27842
19303,210169,2017/09/06,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,82,44.95275,-93.27842
19325,224765,2017/09/14,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,100,44.95275,-93.27842
19335,225701,2017/10/24,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,100,44.95275,-93.27842
19294,210168,2018/07/30,EL NUEVO MARIACHI,2728 NICOLLET AVE,Routine,94,44.95275,-93.27842
19353,259650,2018/09/26,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,94,44.95275,-93.27842
19340,259649,2019/07/30,EL NUEVO MARIACHI,2728 NICOLLET AVE,Routine,78,44.95275,-93.27842
19356,320002,2019/09/19,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,88,44.95275,-93.27842
19366,330221,2019/11/21,EL NUEVO MARIACHI,2728 NICOLLET AVE,Follow-Up,94,44.95275,-93.27842
17658,26553,2017/01/11,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Routine,86,44.94811,-93.23272
17685,190608,2017/03/31,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Follow-Up,98,44.94811,-93.23272
17669,181437,2018/02/12,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Routine,90,44.94811,-93.23272
17697,243021,2018/04/06,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Follow-Up,90,44.94811,-93.23272
17705,247576,2018/06/08,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Follow-Up,94,44.94811,-93.23272
17687,243020,2019/03/05,"EL NUEVO RODEO, PARAISO LOUNGE, 27 EVENT",2709 LAKE ST E,Routine,96,44.94811,-93.23272
2013,26675,2017/08/17,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,100,45.01267,-93.24788
2032,26679,2017/08/31,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,84,45.01267,-93.24788
2016,223600,2018/06/29,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,88,45.01267,-93.24788
2030,253700,2018/07/19,EL TACO RIENDO,2412 CENTRAL AVE NE,Follow-Up,96,45.01267,-93.24788
2039,224883,2018/08/31,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,100,45.01267,-93.24788
2026,253699,2019/07/10,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,96,45.01267,-93.24788
2042,274270,2019/08/29,EL TACO RIENDO,2412 CENTRAL AVE NE,Routine,100,45.01267,-93.24788
2530,32006,2017/03/01,ELEMENT PIZZA,96 BROADWAY ST NE,Routine,96,44.99856,-93.26786
2536,191548,2018/09/13,ELEMENT PIZZA,96 BROADWAY ST NE,Routine,100,44.99856,-93.26786
6558,32290,2017/01/30,EMILYS LEBANESE DELI,641 UNIVERSITY AVE NE,Routine,100,44.99567,-93.26118
6565,189618,2018/02/16,EMILYS LEBANESE DELI,641 UNIVERSITY AVE NE,Routine,96,44.99567,-93.26118
6571,245374,2019/02/01,EMILYS LEBANESE DELI,641 UNIVERSITY AVE NE,Routine,100,44.99567,-93.26118
6578,294810,2020/02/03,EMILYS LEBANESE DELI,641 UNIVERSITY AVE NE,Routine,98,44.99567,-93.26118
22219,32456,2017/12/07,ERBERTS & GERBERT'S,316 15TH AVE SE,Routine,96,44.97939,-93.23441
22224,235005,2019/06/05,ERBERTS & GERBERT'S,316 15TH AVE SE,Routine,94,44.97939,-93.23441
1635,278779,2019/01/03,ERTE AND THE PEACOCK LOUNGE,323 13TH AVE NE,Routine,96,45.00115,-93.26337
1638,287852,2020/01/03,ERTE AND THE PEACOCK LOUNGE,323 13TH AVE NE,Routine,92,45.00115,-93.26337
15172,46322,2017/07/11,ESKER GROVE,725 VINELAND PL,Routine,92,44.96847,-93.2892
15180,205251,2017/09/20,ESKER GROVE,725 VINELAND PL,Follow-Up,100,44.96847,-93.2892
15177,205250,2018/07/10,ESKER GROVE,725 VINELAND PL,Routine,100,44.96847,-93.2892
15181,254757,2019/07/19,ESKER GROVE,725 VINELAND PL,Routine,100,44.96847,-93.2892
23452,38980,2017/07/25,FABULOUS CATERING,2900 13TH AVE S,Routine,100,44.94991,-93.25667
23453,201694,2018/04/05,FABULOUS CATERING,2900 13TH AVE S,Routine,100,44.94991,-93.25667
23458,247483,2019/04/02,FABULOUS CATERING,2900 13TH AVE S,Routine,100,44.94991,-93.25667
7917,251623,2018/08/17,FAIRGROUNDS COFFEE AND TEA,116 3RD AVE N,Routine,68,44.98611,-93.27078
7936,266626,2018/09/18,FAIRGROUNDS COFFEE AND TEA,116 3RD AVE N,Follow-Up,96,44.98611,-93.27078
7930,266625,2019/08/16,FAIRGROUNDS COFFEE AND TEA,116 3RD AVE N,Routine,100,44.98611,-93.27078
23111,39126,2017/01/12,FALAFEL KING,3238 LAKE ST W,Follow-Up,100,44.94913,-93.32083
23102,39102,2017/06/03,FALAFEL KING,3238 LAKE ST W,Routine,100,44.94913,-93.32083
23112,39127,2017/10/16,FALAFEL KING,3238 LAKE ST W,Routine,84,44.94913,-93.32083
23134,230324,2017/12/20,FALAFEL KING,3238 LAKE ST W,Follow-Up,92,44.94913,-93.32083
23126,230323,2018/06/05,FALAFEL KING,3238 LAKE ST W,Routine,88,44.94913,-93.32083
23153,257394,2018/07/30,FALAFEL KING,3238 LAKE ST W,Follow-Up,100,44.94913,-93.32083
23103,252009,2018/08/03,FALAFEL KING,3238 LAKE ST W,Routine,96,44.94913,-93.32083
23137,257393,2019/06/07,FALAFEL KING,3238 LAKE ST W,Routine,78,44.94913,-93.32083
23106,261266,2019/06/23,FALAFEL KING,3238 LAKE ST W,Routine,92,44.94913,-93.32083
23156,313703,2019/08/06,FALAFEL KING,3238 LAKE ST W,Follow-Up,100,44.94913,-93.32083
21563,252734,2018/06/19,FAST EDDIES PIZZA,4747 NICOLLET AVE,Routine,90,44.9163,-93.27759
21594,253651,2018/08/02,FAST EDDIES PIZZA,4747 NICOLLET AVE,Follow-Up,100,44.9163,-93.27759
21579,253650,2019/06/12,FAST EDDIES PIZZA,4747 NICOLLET AVE,Routine,78,44.9163,-93.27759
21600,313664,2019/07/10,FAST EDDIES PIZZA,4747 NICOLLET AVE,Follow-Up,90,44.9163,-93.27759
21607,315190,2019/08/06,FAST EDDIES PIZZA,4747 NICOLLET AVE,Follow-Up,94,44.9163,-93.27759
5839,181491,2018/01/05,FAT LORENZO'S,5600 CEDAR AVE S,Routine,96,44.90079,-93.24792
5861,237181,2018/03/02,FAT LORENZO'S,5600 CEDAR AVE S,Follow-Up,98,44.90079,-93.24792
5850,237180,2019/01/10,FAT LORENZO'S,5600 CEDAR AVE S,Routine,98,44.90079,-93.24792
5867,287822,2019/02/27,FAT LORENZO'S,5600 CEDAR AVE S,Follow-Up,98,44.90079,-93.24792
5875,287809,2020/01/13,FAT LORENZO'S,5600 CEDAR AVE S,Routine,86,44.90079,-93.24792
5974,237242,2018/03/29,FIG + FARRO,3001 HENNEPIN AVE,Routine,84,44.94743,-93.29732
6012,247407,2018/05/22,FIG + FARRO,3001 HENNEPIN AVE,Follow-Up,84,44.94743,-93.29732
6027,251312,2018/06/26,FIG + FARRO,3001 HENNEPIN AVE,Follow-Up,94,44.94743,-93.29732
5998,247406,2019/10/01,FIG + FARRO,3001 HENNEPIN AVE,Routine,84,44.94743,-93.29732
6032,331374,2019/11/25,FIG + FARRO,3001 HENNEPIN AVE,Follow-Up,96,44.94743,-93.29732
4832,39395,2017/08/22,FIKA,2600 PARK AVE,Routine,100,44.95521,-93.26581
4835,220611,2018/07/31,FIKA,2600 PARK AVE,Routine,94,44.95521,-93.26581
4842,260336,2019/07/30,FIKA,2600 PARK AVE,Routine,96,44.95521,-93.26581
17917,39443,2017/10/04,FIRE BOX DELI,4707 LYNDALE AVE N,Routine,80,45.04058,-93.28734
17932,229351,2017/11/17,FIRE BOX DELI,4707 LYNDALE AVE N,Follow-Up,98,45.04058,-93.28734
17928,229350,2018/10/16,FIRE BOX DELI,4707 LYNDALE AVE N,Routine,100,45.04058,-93.28734
17935,276375,2019/10/16,FIRE BOX DELI,4707 LYNDALE AVE N,Routine,100,45.04058,-93.28734
7938,46337,2017/03/07,FIREROAST CAFE,3800 37TH AVE S,Routine,100,44.93406,-93.21951
7941,193009,2018/03/26,FIREROAST CAFE,3800 37TH AVE S,Routine,96,44.93406,-93.21951
7956,246983,2018/05/16,FIREROAST CAFE,3800 37TH AVE S,Follow-Up,100,44.93406,-93.21951
7952,246982,2019/03/19,FIREROAST CAFE,3800 37TH AVE S,Routine,98,44.93406,-93.21951
9082,249667,2018/09/11,FIRST DRAFT TAPROOM & KITCHEN,324 6TH AVE N,Routine,100,44.98576,-93.27824
9083,271565,2019/09/12,FIRST DRAFT TAPROOM & KITCHEN,324 6TH AVE N,Routine,82,44.98576,-93.27824
9089,329764,2019/10/10,FIRST DRAFT TAPROOM & KITCHEN,324 6TH AVE N,Follow-Up,94,44.98576,-93.27824
10233,329898,2019/10/10,FISH BOWL POKE,520 4TH ST N #102,Routine,84,44.98493,-93.27707
10243,333868,2019/11/14,FISH BOWL POKE,520 4TH ST N #102,Follow-Up,82,44.98493,-93.27707
10254,337060,2020/01/02,FISH BOWL POKE,520 4TH ST N #102,Follow-Up,88,44.98493,-93.27707
19240,46455,2017/01/05,FIVE GUYS BURGERS & FRIES,1413 4TH ST SE,Routine,100,44.98062,-93.23478
19258,46462,2017/08/02,FIVE GUYS BURGERS & FRIES,2300 HENNEPIN AVE,Routine,100,44.95986,-93.29399
19243,188248,2018/01/02,FIVE GUYS BURGERS & FRIES,1413 4TH ST SE,Routine,100,44.98062,-93.23478
19260,216080,2018/08/02,FIVE GUYS BURGERS & FRIES,2300 HENNEPIN AVE,Routine,100,44.95986,-93.29399
19248,236957,2019/01/03,FIVE GUYS BURGERS & FRIES,1413 4TH ST SE,Routine,100,44.98062,-93.23478
19263,266505,2019/08/01,FIVE GUYS BURGERS & FRIES,2300 HENNEPIN AVE,Routine,94,44.95986,-93.29399
19255,286871,2019/12/26,FIVE GUYS BURGERS & FRIES,1413 4TH ST SE,Routine,94,44.98062,-93.23478
17967,276704,2018/12/07,FLAMIN THAI,233 CEDAR AVE S,Routine,100,44.97281,-93.24644
17970,281195,2019/12/05,FLAMIN THAI,233 CEDAR AVE S,Routine,96,44.97281,-93.24644
9040,248828,2018/06/28,FLETCHERS ICE CREAM LLC,1509 MARSHALL ST NE,Routine,96,45.00327,-93.27091
9045,259385,2019/12/27,FLETCHERS ICE CREAM LLC,1509 MARSHALL ST NE,Routine,100,45.00327,-93.27091
983,124977,2017/05/03,FOGO DE CHAO,645 HENNEPIN AVE,Follow-Up,92,44.978,-93.273
987,198002,2017/06/09,FOGO DE CHAO,645 HENNEPIN AVE,Follow-Up,96,44.978,-93.273
968,124976,2017/12/08,FOGO DE CHAO,645 HENNEPIN AVE,Routine,84,44.978,-93.273
997,236410,2018/01/12,FOGO DE CHAO,645 HENNEPIN AVE,Follow-Up,96,44.978,-93.273
989,236409,2018/11/28,FOGO DE CHAO,645 HENNEPIN AVE,Routine,82,44.978,-93.273
1008,280437,2018/12/21,FOGO DE CHAO,645 HENNEPIN AVE,Follow-Up,96,44.978,-93.273
1003,280436,2019/11/27,FOGO DE CHAO,645 HENNEPIN AVE,Routine,92,44.978,-93.273
11445,46870,2017/07/26,FRANK FROM PHILLY,1227 4TH ST SE,Routine,94,44.98149,-93.23733
11465,213925,2017/09/20,FRANK FROM PHILLY,1227 4TH ST SE,Follow-Up,94,44.98149,-93.23733
11454,213924,2018/07/25,FRANK FROM PHILLY,1227 4TH ST SE,Routine,94,44.98149,-93.23733
11485,261256,2018/09/05,FRANK FROM PHILLY,1227 4TH ST SE,Follow-Up,96,44.98149,-93.23733
11471,261255,2019/07/23,FRANK FROM PHILLY,1227 4TH ST SE,Routine,76,44.98149,-93.23733
11487,319144,2019/09/03,FRANK FROM PHILLY,1227 4TH ST SE,Follow-Up,78,44.98149,-93.23733
11499,329444,2019/10/09,FRANK FROM PHILLY,1227 4TH ST SE,Follow-Up,86,44.98149,-93.23733
11510,332820,2019/11/18,FRANK FROM PHILLY,1227 4TH ST SE,Follow-Up,100,44.98149,-93.23733
1820,53831,2017/10/31,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,Routine,94,44.9551,-93.28847
1846,232053,2018/01/13,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,Follow-Up,100,44.9551,-93.28847
1832,232052,2018/10/26,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,Routine,82,44.9551,-93.28847
1857,279285,2019/02/03,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,Follow-Up,100,44.9551,-93.28847
1850,279284,2019/11/04,FRENCH MEADOW BAKERY & BLUESTEM BAR,2610 LYNDALE AVE S,Routine,94,44.9551,-93.28847
3108,53865,2017/07/06,"FRESH MARKET, THE",555 NICOLLET MALL #103,Routine,100,44.97817,-93.2706
3112,203496,2019/06/26,"FRESH MARKET, THE",555 NICOLLET MALL #103,Routine,98,44.97817,-93.2706
16085,232209,2018/03/26,FRESH WOK,4610 NICOLLET AVE,Routine,82,44.91883,-93.27836
16108,246978,2018/05/21,FRESH WOK,4610 NICOLLET AVE,Follow-Up,84,44.91883,-93.27836
16120,252100,2018/08/02,FRESH WOK,4610 NICOLLET AVE,Follow-Up,96,44.91883,-93.27836
16100,246977,2019/04/24,FRESH WOK,4610 NICOLLET AVE,Routine,92,44.91883,-93.27836
22322,53912,2017/03/06,FRESHII,651 NICOLLET MALL #239,Routine,94,44.97719,-93.27137
22343,192442,2017/04/24,FRESHII,651 NICOLLET MALL #239,Follow-Up,100,44.97719,-93.27137
22331,192441,2018/03/12,FRESHII,651 NICOLLET MALL #239,Routine,86,44.97719,-93.27137
22352,245857,2018/04/16,FRESHII,651 NICOLLET MALL #239,Follow-Up,92,44.97719,-93.27137
22360,247894,2018/06/04,FRESHII,651 NICOLLET MALL #239,Follow-Up,100,44.97719,-93.27137
22344,245856,2019/03/11,FRESHII,651 NICOLLET MALL #239,Routine,100,44.97719,-93.27137
7128,53991,2017/10/28,FUJI YA,600 LAKE ST W,Routine,90,44.94866,-93.28728
7157,231996,2017/12/29,FUJI YA,600 LAKE ST W,Follow-Up,100,44.94866,-93.28728
7144,231640,2018/10/30,FUJI YA,600 LAKE ST W,Routine,96,44.94866,-93.28728
7169,279196,2018/12/06,FUJI YA,600 LAKE ST W,Follow-Up,98,44.94866,-93.28728
7161,278078,2019/10/30,FUJI YA,600 LAKE ST W,Routine,92,44.94866,-93.28728
2671,125778,2017/11/06,GALACTIC PIZZA,2917 LYNDALE AVE S,Routine,98,44.94966,-93.28767
2676,232340,2018/11/19,GALACTIC PIZZA,2917 LYNDALE AVE S,Routine,98,44.94966,-93.28767
2679,279859,2019/11/19,GALACTIC PIZZA,2917 LYNDALE AVE S,Routine,96,44.94966,-93.28767
5110,54184,2017/06/13,GANDHI MAHAL,3009 27TH AVE S,Routine,90,44.94792,-93.23272
5149,201814,2017/08/08,GANDHI MAHAL,3009 27TH AVE S,Follow-Up,98,44.94792,-93.23272
5157,214030,2017/10/04,GANDHI MAHAL,3009 27TH AVE S,Follow-Up,98,44.94792,-93.23272
5128,201813,2018/06/19,GANDHI MAHAL,3009 27TH AVE S,Routine,62,44.94792,-93.23272
5174,253223,2018/08/13,GANDHI MAHAL,3009 27TH AVE S,Follow-Up,94,44.94792,-93.23272
5161,253222,2019/07/10,GANDHI MAHAL,3009 27TH AVE S,Routine,84,44.94792,-93.23272
5180,315205,2019/09/05,GANDHI MAHAL,3009 27TH AVE S,Follow-Up,96,44.94792,-93.23272
13686,54232,2017/06/27,GARDENS OF SALONICA,19 5TH ST NE,Routine,86,44.98971,-93.25346
13711,203617,2017/08/11,GARDENS OF SALONICA,19 5TH ST NE,Follow-Up,96,44.98971,-93.25346
13701,203616,2018/07/11,GARDENS OF SALONICA,19 5TH ST NE,Routine,94,44.98971,-93.25346
13732,254712,2018/09/07,GARDENS OF SALONICA,19 5TH ST NE,Follow-Up,100,44.98971,-93.25346
13714,254711,2019/07/11,GARDENS OF SALONICA,19 5TH ST NE,Routine,92,44.98971,-93.25346
10218,180792,2017/02/23,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Follow-Up,100,45.01145,-93.26352
10208,54314,2017/10/06,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Routine,88,45.01145,-93.26352
10223,230927,2017/10/31,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Follow-Up,92,45.01145,-93.26352
10220,228261,2018/10/09,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Routine,94,45.01145,-93.26352
10232,278075,2018/12/04,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Follow-Up,100,45.01145,-93.26352
10226,278074,2019/10/09,GASTHOF ZUR GEMUTLICHKEIT,2300 UNIVERSITY AVE NE,Routine,94,45.01145,-93.26352
23640,60851,2017/05/21,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,96,45.01232,-93.26356
23644,125785,2017/06/25,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,100,45.01232,-93.26356
23641,199740,2018/04/27,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,98,45.01232,-93.26356
23645,202617,2018/05/19,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,98,45.01232,-93.26356
23648,251564,2019/04/28,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,96,45.01232,-93.26356
23638,309838,2019/05/09,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,100,45.01232,-93.26356
23643,248872,2019/05/15,GASTROTRUCK,2400 UNIVERSITY AVE NE,Routine,100,45.01232,-93.26356
21808,60879,2017/02/08,GATHERINGS CAFE,1530 FRANKLIN AVE E,Routine,100,44.96326,-93.25248
21812,190074,2018/02/13,GATHERINGS CAFE,1530 FRANKLIN AVE E,Routine,92,44.96326,-93.25248
21822,242968,2018/03/30,GATHERINGS CAFE,1530 FRANKLIN AVE E,Follow-Up,100,44.96326,-93.25248
21816,242967,2019/02/01,GATHERINGS CAFE,1530 FRANKLIN AVE E,Routine,84,44.96326,-93.25248
21823,296773,2019/03/12,GATHERINGS CAFE,1530 FRANKLIN AVE E,Follow-Up,96,44.96326,-93.25248
18393,276916,2018/10/25,GEEK LOVE CAFE,3032 MINNEHAHA AVE,Routine,92,44.94723,-93.23397
18404,277474,2018/12/20,GEEK LOVE CAFE,3032 MINNEHAHA AVE,Follow-Up,100,44.94723,-93.23397
18399,277473,2019/10/24,GEEK LOVE CAFE,3032 MINNEHAHA AVE,Routine,94,44.94723,-93.23397
122,18072,2017/07/20,GEORGE AND THE DRAGON,813 50TH ST W,Routine,92,44.91214,-93.29045
132,208221,2017/09/25,GEORGE AND THE DRAGON,813 50TH ST W,Follow-Up,96,44.91214,-93.29045
129,208220,2018/07/27,GEORGE AND THE DRAGON,813 50TH ST W,Routine,96,44.91214,-93.29045
135,262114,2018/09/14,GEORGE AND THE DRAGON,813 50TH ST W,Follow-Up,100,44.91214,-93.29045
134,262113,2019/07/26,GEORGE AND THE DRAGON,813 50TH ST W,Routine,96,44.91214,-93.29045
9093,61076,2017/01/10,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Routine,88,44.98778,-93.2577
9119,190587,2017/04/05,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Follow-Up,100,44.98778,-93.2577
9111,189810,2018/01/25,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Routine,96,44.98778,-93.2577
9124,242460,2019/01/17,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Routine,90,44.98778,-93.2577
9135,292950,2019/03/12,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Follow-Up,96,44.98778,-93.2577
9140,292949,2020/01/14,GINGER HOP REST. & HONEY AT GINGER HOP,201 HENNEPIN AVE E,Routine,94,44.98778,-93.2577
8881,123687,2017/10/26,GLUEKS RESTAURANT,16 6TH ST N,Routine,92,44.97947,-93.27398
8901,232143,2017/12/08,GLUEKS RESTAURANT,16 6TH ST N,Follow-Up,92,44.97947,-93.27398
8895,232140,2018/11/06,GLUEKS RESTAURANT,16 6TH ST N,Routine,92,44.97947,-93.27398
8913,279022,2019/11/04,GLUEKS RESTAURANT,16 6TH ST N,Routine,80,44.97947,-93.27398
8933,336422,2019/12/04,GLUEKS RESTAURANT,16 6TH ST N,Follow-Up,84,44.97947,-93.27398
8944,338361,2019/12/31,GLUEKS RESTAURANT,16 6TH ST N,Follow-Up,94,44.97947,-93.27398
20904,12442,2017/02/02,GOOD TO GO,200 6TH ST S,Routine,80,44.9769,-93.26762
20919,190588,2017/03/27,GOOD TO GO,200 6TH ST S,Follow-Up,100,44.9769,-93.26762
20915,189825,2018/02/14,GOOD TO GO,200 6TH ST S,Routine,96,44.9769,-93.26762
20922,242869,2019/02/13,GOOD TO GO,200 6TH ST S,Routine,94,44.9769,-93.26762
20929,298385,2019/04/10,GOOD TO GO,200 6TH ST S,Follow-Up,100,44.9769,-93.26762
22363,12488,2017/03/22,GORDITAS EL GORDO,207 LAKE ST E,Routine,100,44.94806,-93.27364
22373,193291,2018/03/07,GORDITAS EL GORDO,207 LAKE ST E,Routine,100,44.94806,-93.27364
22376,245599,2019/03/07,GORDITAS EL GORDO,207 LAKE ST E,Routine,94,44.94806,-93.27364
1786,12512,2017/03/14,GORKHA PALACE,23 4TH ST NE,Routine,94,44.98929,-93.25498
1791,192742,2018/03/16,GORKHA PALACE,23 4TH ST NE,Routine,100,44.98929,-93.25498
1796,246693,2019/03/27,GORKHA PALACE,23 4TH ST NE,Routine,94,44.98929,-93.25498
1808,307482,2019/05/16,GORKHA PALACE,23 4TH ST NE,Follow-Up,90,44.98929,-93.25498
1818,310598,2019/06/27,GORKHA PALACE,23 4TH ST NE,Follow-Up,98,44.98929,-93.25498
2564,232189,2017/12/19,GRANDE CAFE,3804 GRAND AVE S,Routine,100,44.93383,-93.28474
2565,244837,2018/12/26,GRANDE CAFE,3804 GRAND AVE S,Routine,90,44.93383,-93.28474
2598,290876,2019/03/05,GRANDE CAFE,3804 GRAND AVE S,Follow-Up,94,44.93383,-93.28474
2605,304782,2019/05/01,GRANDE CAFE,3804 GRAND AVE S,Follow-Up,100,44.93383,-93.28474
2579,290875,2019/12/18,GRANDE CAFE,3804 GRAND AVE S,Routine,86,44.93383,-93.28474
2607,340271,2020/01/29,GRANDE CAFE,3804 GRAND AVE S,Follow-Up,98,44.93383,-93.28474
11062,223590,2017/11/08,GRANDE SUNRISE,5554 34TH AVE S,Routine,90,44.90188,-93.22333
11080,232956,2017/12/14,GRANDE SUNRISE,5554 34TH AVE S,Follow-Up,100,44.90188,-93.22333
11075,232954,2018/11/20,GRANDE SUNRISE,5554 34TH AVE S,Routine,98,44.90188,-93.22333
11083,280123,2019/11/20,GRANDE SUNRISE,5554 34TH AVE S,Routine,86,44.90188,-93.22333
11094,337775,2019/12/30,GRANDE SUNRISE,5554 34TH AVE S,Follow-Up,96,44.90188,-93.22333
20489,12680,2017/02/21,GRASS ROOTS GOURMET,920 LAKE ST E #130,Routine,100,44.94931,-93.26076
20497,12684,2017/02/21,GRASS ROOTS GOURMET,920 LAKE ST E #130,Routine,100,44.94931,-93.26076
20499,191077,2018/02/20,GRASS ROOTS GOURMET,920 LAKE ST E #130,Routine,96,44.94931,-93.26076
20490,191078,2019/02/21,GRASS ROOTS GOURMET,920 LAKE ST E #130,Routine,88,44.94931,-93.26076
20502,243373,2019/02/21,GRASS ROOTS GOURMET,920 LAKE ST E #130,Routine,100,44.94931,-93.26076
20495,303032,2019/04/01,GRASS ROOTS GOURMET,920 LAKE ST E #130,Follow-Up,98,44.94931,-93.26076
18449,328543,2019/09/24,GRAZE PROVISIONS AND LIBATIONS/GRAZE,520 4TH ST N,Routine,88,44.98493,-93.27707
18460,330405,2019/10/31,GRAZE PROVISIONS AND LIBATIONS/GRAZE,520 4TH ST N,Follow-Up,94,44.98493,-93.27707
22154,12765,2017/05/18,GREAT DRAGON,1916 CHICAGO AVE,Routine,92,44.96315,-93.26296
22188,199782,2017/06/14,GREAT DRAGON,1916 CHICAGO AVE,Follow-Up,96,44.96315,-93.26296
22172,199781,2018/05/23,GREAT DRAGON,1916 CHICAGO AVE,Routine,76,44.96315,-93.26296
22208,251412,2018/06/19,GREAT DRAGON,1916 CHICAGO AVE,Follow-Up,96,44.96315,-93.26296
22194,251411,2019/05/16,GREAT DRAGON,1916 CHICAGO AVE,Routine,82,44.96315,-93.26296
22218,310546,2019/06/28,GREAT DRAGON,1916 CHICAGO AVE,Follow-Up,100,44.96315,-93.26296
17324,12844,2017/08/29,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,Routine,90,44.97642,-93.27017
17346,222910,2017/10/23,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,Follow-Up,100,44.97642,-93.27017
17335,222909,2018/08/29,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,Routine,100,44.97642,-93.27017
17353,269138,2019/08/22,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,Routine,82,44.97642,-93.27017
17365,325819,2019/10/21,GREEK GRILL & CAFE,625 MARQUETTE AVE #236,Follow-Up,92,44.97642,-93.27017
11392,281282,2019/02/25,GREEN + THE GRAIN,900 2ND AVE S,Routine,92,44.9737,-93.27186
918,180221,2017/12/19,GREEN AND THE GRAIN,800 LASALLE AVE #213,Routine,96,44.97641,-93.27513
19436,20058,2018/01/08,GREEN AND THE GRAIN,705 MARQUETTE AVE #257,Routine,98,44.97593,-93.27064
929,236635,2018/02/12,GREEN AND THE GRAIN,800 LASALLE AVE #213,Follow-Up,98,44.97641,-93.27513
16718,245610,2018/04/13,GREEN AND THE GRAIN,200 6TH ST S #296,Routine,84,44.9769,-93.26762
