,inspect_name,address,zipcode,neighborhood,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated,yelp_categories,yelp_name,yelp_id,yelp_price,yelp_url,yelp_transactions,yelp_phone,yelp_rating,yelp_reviews,google_name,google_id
0,FAT DUCK,4515 FRANCE AVE S,55410,Linden Hills,44.92112,-93.32874,"[12822, 208338, 228277, 208337, 257414, 257413]","['2017/07/20', '2017/10/04', '2017/11/21', '2018/07/19', '2018/08/22', '2019/07/19']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[80, 90, 100, 92, 98, 98]","Sun, Mar 15, 2020 at 04:32 PM",['Chinese'],Great Wall Chinese Restaurant,2p8yps_l-IhSH9Kn7juiBw,$$,https://www.yelp.com/biz/great-wall-chinese-restaurant-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'pickup']",(952) 927-4439,3.0,87,,
1,NUTTY SNACKS,2608 BLAISDELL AVE,55408,Whittier,44.95522,-93.28013,"[247947, 253059]","['2018/06/19', '2020/01/15']","['Routine', 'Routine']","[96, 92]","Sun, Mar 15, 2020 at 04:36 PM","['Bars', 'American (Traditional)', 'Breakfast & Brunch']",Eat Street Social,K9P6dLlPMyx7xs7fLQPiDw,$$,https://www.yelp.com/biz/eat-street-social-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,"['delivery', 'restaurant_reservation']",(612) 767-6850,4.0,411,,
2,PIZZA HUT  # 30231,1408 5TH ST SE,55414,Marcy Holmes,44.98103,-93.23488,"[28938, 232870]","['2017/11/08', '2019/05/08']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:37 PM","['Pizza', 'Italian', 'Chicken Wings']",Pizza Hut,4Wfj7z1lYZjgRZj9m8aPhQ,$,https://www.yelp.com/biz/pizza-hut-minneapolis-35?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 623-0775,1.5,25,,
3,SAN MARCOS,"San Marcos, TX, USA",55407,Powderhorn Park,44.94793,-93.25289,[313538],['2019/05/23'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:48 PM",['Mexican'],Cocina San Marcos,tr54jXwXh-uoZKj9cuTRkA,,https://www.yelp.com/biz/cocina-san-marcos-minneapolis?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 728-5427,5.0,2,San Marcos,ChIJWUZBNCqnXIYRJzGOU2wzOi8
4,STARBUCKS COFFEE #263,80 8TH ST S,55402,Downtown West,44.97609,-93.27207,"[42440, 243254, 243253]","['2018/02/16', '2018/03/28', '2020/01/27']","['Routine', 'Follow-Up', 'Routine']","[94, 100, 100]","Sun, Mar 15, 2020 at 04:38 PM",['Coffee & Tea'],Starbucks,oFajTCIDMMGdLQ95d5_0Wg,$,https://www.yelp.com/biz/starbucks-minneapolis-26?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 371-0383,3.5,35,,
5,TACO BELL #2384,1540 STINSON PKWY,55413,Northeast Park,45.00388,-93.22761,"[64095, 192094, 234909]","['2017/03/07', '2017/12/06', '2019/06/07']","['Routine', 'Routine', 'Routine']","[98, 100, 96]","Sun, Mar 15, 2020 at 04:39 PM","['Tacos', 'Breakfast & Brunch']",Taco Bell,vYzcEQhKOgjmKJPI5ilhpg,$,https://www.yelp.com/biz/taco-bell-minneapolis-23?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 379-8044,2.0,37,,
6,WENDY'S 411,2931 26TH AVE S,55406,Longfellow,44.94901,-93.23355,"[248961, 254591, 269969, 277098, 254590]","['2018/07/13', '2018/08/31', '2018/10/23', '2019/01/23', '2019/07/16']","['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']","[92, 94, 94, 100, 96]","Sun, Mar 15, 2020 at 04:40 PM","['Burgers', 'Fast Food']",Wendy's,sDEY06MEvwwq75iLQiypUg,$,https://www.yelp.com/biz/wendys-minneapolis-21?adjust_creative=cUXB22-eqCXgVCuSdCDCmA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=cUXB22-eqCXgVCuSdCDCmA,['delivery'],(612) 722-6403,1.5,10,,
