,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
18,ALS BREAKFAST,413 14TH AVE SE,44.98101,-93.23569,"[[59243, 201208, 205347, 201207, 252901, 252900, 314465]]","[['2017/06/02', '2017/07/18', '2017/09/20', '2018/06/18', '2018/08/01', '2019/06/18', '2019/07/23']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[80, 92, 98, 90, 96, 90, 94]]"
19,AMAZING THAILAND,3024 HENNEPIN AVE,44.94744,-93.29867,"[[59348, 229841, 236553, 242956, 229840, 276983, 276982]]","[['2017/10/13', '2017/12/19', '2018/02/12', '2018/03/21', '2018/10/19', '2018/11/30', '2019/10/31']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[82, 90, 90, 100, 88, 100, 96]]"
20,AMORE UPTOWN,1601 LAKE ST W,44.94807,-93.30246,"[[10452, 10453, 223052, 230519, 223051, 271524, 277706, 271523]]","[['2017/01/26', '2017/08/23', '2017/10/19', '2017/12/22', '2018/09/07', '2018/10/26', '2018/12/21', '2019/09/06']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[96, 86, 94, 100, 92, 98, 98, 100]]"
21,AMYS CLASSIC CONFECTIONS,625 MARQUETTE AVE #230,44.97642,-93.27017,[[10489]],[['2018/06/11']],[['Routine']],[[100]]
22,ANDREA PIZZA,225 6TH ST S #A203,44.976,-93.26826,"[[10625, 203029, 203028, 254564]]","[['2017/06/29', '2017/07/17', '2018/07/12', '2019/07/01']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[92, 100, 98, 92]]"
23,ANDREA PIZZA,811 LASALLE AVE #SUITE 202,44.97592,-93.27444,"[[10606, 204007, 290814]]","[['2017/07/12', '2019/01/16', '2019/02/14']]","[['Routine', 'Routine', 'Follow-Up']]","[[96, 88, 100]]"
24,ANELACE COFFEE,2402 CENTRAL AVE NE,45.01243,-93.24788,"[[10668, 201834, 253195, 253194]]","[['2017/06/16', '2018/06/14', '2018/08/10', '2019/06/14']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 90, 100, 98]]"
25,ANGEL'S FUN AREA,2800 1ST AVE S,44.95169,-93.27697,"[[241395, 251513, 279994, 311390]]","[['2018/05/23', '2018/11/20', '2019/05/21', '2019/11/21']]","[['Routine', 'Routine', 'Routine', 'Routine']]","[[98, 100, 100, 96]]"
26,ANNIES KITTY CAT KLUB,313 14TH AVE SE,44.98005,-93.23656,"[[10746, 188756, 242341, 242340, 294190, 294189]]","[['2017/01/12', '2018/02/07', '2018/03/14', '2019/01/29', '2019/03/20', '2020/01/29']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[100, 94, 100, 90, 96, 84]]"
27,APOY,4301 NICOLLET AVE,44.92488,-93.27754,[[280884]],[['2019/03/06']],[['Routine']],[[100]]
28,AREZZO RISTORANTE,5057 FRANCE AVE S,44.91098,-93.32866,"[[11054, 228738, 236557, 228737, 277679, 277678]]","[['2017/10/11', '2017/12/20', '2018/02/14', '2018/10/26', '2018/11/30', '2019/11/07']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[84, 98, 100, 88, 100, 96]]"
29,ARIA AT THE JEUNE LUNE,105 1ST ST N,44.98471,-93.26873,"[[11086, 198067, 249338]]","[['2017/05/10', '2018/05/03', '2019/05/04']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 96]]"
30,ASTER CAFE,125 MAIN ST SE,44.98467,-93.25494,"[[18200, 191230, 243835, 303493]]","[['2017/02/23', '2018/02/27', '2019/03/04', '2019/04/10']]","[['Routine', 'Routine', 'Routine', 'Follow-Up']]","[[100, 100, 86, 96]]"
31,ATLAS RESTAURANT,200 6TH ST S #175,44.9769,-93.26762,"[[18222, 190055, 190054, 243459, 243458, 298700, 307946]]","[['2017/02/07', '2017/03/08', '2018/02/14', '2018/03/19', '2019/02/13', '2019/04/10', '2019/05/15']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[96, 96, 84, 100, 76, 92, 100]]"
32,BACON SOCIAL HOUSE,700 3RD ST S,44.97681,-93.2588,[[316212]],[['2019/09/17']],[['Routine']],[[100]]
33,BAGU SUSHI AND THAI,4741 CHICAGO AVE,44.91632,-93.26224,"[[249152, 249187, 254167, 270236, 278865, 287130, 249186, 314664, 337693]]","[['2018/05/07', '2018/07/09', '2018/08/30', '2018/10/29', '2018/12/27', '2019/05/17', '2019/06/17', '2019/11/21', '2019/12/05']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']]","[[74, 84, 88, 94, 94, 98, 82, 84, 96]]"
34,BANANA BLOSSOM,1724 LOWRY AVE N,45.01346,-93.30162,"[[25177, 196462, 200895, 196461, 249097, 249096, 310485]]","[['2017/04/14', '2017/06/06', '2017/08/15', '2018/05/01', '2018/06/06', '2019/05/14', '2019/06/25']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[62, 86, 100, 90, 96, 84, 92]]"
35,BAND BOX,729 10TH ST S,44.96905,-93.26345,"[[25203, 231247, 231246, 277628, 335734]]","[['2017/10/17', '2017/11/15', '2018/10/17', '2019/10/17', '2019/11/18']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[90, 100, 90, 88, 96]]"
36,BAR BRAVA,1914 WASHINGTON AVE N,44.99867,-93.28137,"[[336280, 339983]]","[['2019/12/27', '2020/01/23']]","[['Routine', 'Follow-Up']]","[[82, 98]]"
37,BAR LA GRASSA,800 WASHINGTON AVE N #102,44.98953,-93.27869,"[[25271, 216880, 262751, 262750]]","[['2017/08/10', '2018/08/07', '2018/09/12', '2019/08/21']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[92, 82, 94, 98]]"
38,BAR LUCHADOR,825 WASHINGTON AVE SE,44.97405,-93.22603,"[[25295, 203240, 203239, 253422, 253421, 314505]]","[['2017/06/29', '2017/07/25', '2018/06/25', '2018/07/24', '2019/06/25', '2019/07/24']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[78, 100, 90, 96, 90, 100]]"
39,BAR ZIA,420 4TH ST S,44.9776,-93.26297,"[[124638, 236550, 236549, 286204, 286203, 341606]]","[['2017/12/20', '2018/02/12', '2018/12/20', '2019/01/25', '2020/01/14', '2020/01/30']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[86, 94, 94, 96, 72, 100]]"
40,BARDO,222 HENNEPIN AVE E,44.98746,-93.25676,"[[230162, 241162, 241161, 292965, 292964]]","[['2018/01/04', '2018/04/06', '2019/01/17', '2019/03/14', '2020/01/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[80, 100, 80, 94, 86]]"
41,BARKALOW'S STORES,400 4TH ST S #110,44.97757,-93.26366,"[[30721, 233833]]","[['2017/11/21', '2019/11/19']]","[['Routine', 'Routine']]","[[100, 100]]"
42,BARRIO,925 NICOLLET MALL,44.9742,-93.27408,"[[30763, 202115, 202114, 253977, 253976, 314336]]","[['2017/06/19', '2017/07/14', '2018/06/22', '2018/07/25', '2019/06/25', '2019/07/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[80, 96, 90, 96, 82, 86]]"
43,BEP EATERY,100 5TH ST S #210,44.97837,-93.26863,"[[31026, 229629, 229628, 274603, 331049]]","[['2017/10/06', '2017/11/22', '2018/10/05', '2019/10/02', '2019/10/31']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[78, 100, 94, 84, 98]]"
44,BEP EATERY,800 LASALLE AVE #211,44.97641,-93.27513,"[[227101, 230809, 230808, 305096]]","[['2017/10/17', '2017/12/12', '2018/10/11', '2019/10/09']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[90, 100, 96, 96]]"
45,BERRY SWEET KITCHEN,5406 34TH AVE S,44.90504,-93.2233,"[[31089, 203206, 253516, 253514]]","[['2017/06/29', '2018/06/26', '2018/08/15', '2019/06/19']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 94, 96, 96]]"
