,businessname,fulladdress,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore
78,"BULLDOG DOWNTOWN, THE",1111 HENNEPIN AVE,44.9748,-93.27937,"[[52877, 190079, 189461, 237332, 237331, 287215, 340287]]","[['2017/01/27', '2017/03/24', '2018/01/05', '2018/02/20', '2019/01/04', '2020/01/03', '2020/01/17']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[96, 100, 90, 100, 96, 78, 82]]"
79,"BULLDOG RESTAURANT, THE",2549 LYNDALE AVE S,44.95589,-93.28762,"[[123829, 232087, 277676]]","[['2017/11/02', '2018/10/30', '2019/11/01']]","[['Routine', 'Routine', 'Routine']]","[[100, 96, 94]]"
80,BURCH STEAK & PIZZA BAR,1934 HENNEPIN AVE,44.96302,-93.29152,"[[52978, 203399, 266520]]","[['2017/06/29', '2018/07/17', '2019/08/21']]","[['Routine', 'Routine', 'Routine']]","[[98, 98, 96]]"
81,BURGER JONES,3200 LAKE ST W,44.94913,-93.32083,"[[59517, 193953, 247620, 247619]]","[['2017/03/23', '2018/04/04', '2018/05/14', '2019/04/17']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[98, 94, 96, 100]]"
82,BURRIGATO,314 15TH AVE SE,44.97925,-93.23444,"[[205633, 237441, 237440, 286944, 340440]]","[['2018/01/02', '2018/02/27', '2019/01/04', '2020/01/08', '2020/02/03']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[88, 96, 96, 90, 100]]"
83,BURRITO LOCO,418 13TH AVE SE,44.9815,-93.23648,"[[59679, 194489, 198290, 194488, 248881, 252196, 254723, 248880, 309918]]","[['2017/04/04', '2017/05/09', '2017/07/06', '2018/04/18', '2018/06/04', '2018/07/16', '2018/09/07', '2019/04/30', '2019/06/14']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[76, 94, 94, 80, 92, 94, 98, 86, 92]]"
84,BUSTERS ON 28TH,4204 28TH AVE S,44.92668,-93.23249,"[[59723, 210176, 226811, 210175, 267112, 267111]]","[['2017/07/26', '2017/09/25', '2017/11/27', '2018/08/23', '2018/10/17', '2019/09/10']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[62, 84, 98, 76, 98, 94]]"
85,BUTCHER & THE BOAR,1121 HENNEPIN AVE,44.97466,-93.27972,"[[59767, 226771, 226770, 275316, 275315, 332488]]","[['2017/09/25', '2017/11/06', '2018/10/02', '2018/11/07', '2019/10/03', '2019/10/31']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 100, 88, 100, 78, 100]]"
86,BUTTER BAKERY CAFE,3700 NICOLLET AVE,44.93549,-93.27839,"[[59813, 194315, 194314, 249091, 249090, 309676]]","[['2017/03/31', '2017/05/02', '2018/04/26', '2018/06/19', '2019/05/01', '2019/06/17']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 100, 92, 96, 94, 100]]"
87,C MCGEE'S DELI,901 3RD ST N #123,44.98907,-93.28192,"[[59908, 190564, 189940, 243245]]","[['2017/02/03', '2017/03/17', '2018/02/14', '2019/02/25']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[86, 94, 96, 98]]"
88,C&G'S SMOKING BBQ,4743 NICOLLET AVE,44.9163,-93.27759,"[[214823, 254178, 262459, 254177, 314015]]","[['2018/06/19', '2018/08/02', '2018/10/11', '2019/06/19', '2019/07/26']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 96, 100, 84, 100]]"
89,CAFE & BAR LURCAT,1624 HARMON PL,44.97148,-93.28574,"[[124234, 124233, 234251, 234250, 285065]]","[['2017/03/03', '2017/11/29', '2018/01/03', '2018/12/17', '2019/12/18']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine']]","[[100, 92, 100, 96, 100]]"
90,CAFE ENA,4601 GRAND AVE S,44.91943,-93.28408,"[[124460, 60047, 233965, 237538, 246618, 233964, 280688, 280687, 338714]]","[['2017/01/17', '2017/11/08', '2018/01/09', '2018/03/21', '2018/07/12', '2018/11/15', '2018/12/26', '2019/11/26', '2020/01/22']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 72, 92, 92, 96, 82, 96, 80, 92]]"
91,CAFE PATTEEN,920 2ND AVE S,44.97325,-93.2721,"[[60156, 209017]]","[['2017/07/24', '2019/02/11']]","[['Routine', 'Routine']]","[[96, 96]]"
92,CAFE RACER KITCHEN,2929 25TH ST E,44.9572,-93.22864,"[[60174, 198405, 198404, 249157]]","[['2017/05/16', '2017/06/21', '2018/05/03', '2019/05/01']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[86, 94, 92, 96]]"
93,CAJUN BOILING,1931 NICOLLET AVE,44.96284,-93.27744,"[[228100, 241561, 241560, 292978, 292977, 349780]]","[['2018/01/22', '2018/03/05', '2019/01/23', '2019/03/12', '2020/01/23', '2020/02/05']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 100, 94, 96, 78, 100]]"
94,CALIS VIETNAMESE RESTAURANT,648 BROADWAY ST NE,44.99851,-93.25589,"[[181039, 195150, 11317, 225573, 225572, 269234, 276644, 269233, 327615]]","[['2017/03/28', '2017/05/16', '2017/08/21', '2017/10/20', '2018/08/23', '2018/10/19', '2018/12/07', '2019/08/22', '2019/10/10']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 100, 66, 96, 76, 86, 96, 80, 96]]"
95,CAMDI RESTAURANTS,1325 4TH ST SE,44.98097,-93.23602,"[[11379, 201994, 213751, 231962, 201993, 254111, 266291, 254110, 315036]]","[['2017/06/08', '2017/08/02', '2017/10/26', '2017/12/21', '2018/06/21', '2018/08/15', '2018/10/16', '2019/06/27', '2019/08/14']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[74, 74, 94, 98, 84, 98, 98, 82, 92]]"
96,CAMPUS CAFE,1810 RIVERSIDE AVE,44.97022,-93.2467,"[[233942, 237493, 287064, 287137]]","[['2018/01/11', '2019/01/10', '2019/02/06', '2020/01/13']]","[['Routine', 'Routine', 'Follow-Up', 'Routine']]","[[88, 86, 100, 96]]"
97,CAMPUS CLUB OF THE UNIV OF MN,300 WASHINGTON AVE SE,44.97302,-93.23473,"[[11416, 232200, 232199, 279329]]","[['2017/10/31', '2017/11/13', '2018/11/13', '2019/11/13']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[84, 100, 100, 92]]"
98,CANDYLAND,811 LASALLE AVE,44.97592,-93.27444,"[[11470, 225575, 225574]]","[['2017/09/12', '2017/10/10', '2019/03/06']]","[['Routine', 'Follow-Up', 'Routine']]","[[90, 98, 100]]"
99,CAPITAL CAFE,2425 FRANKLIN AVE E,44.96248,-93.23692,"[[329360, 337340, 340124]]","[['2019/11/12', '2020/01/02', '2020/01/16']]","[['Routine', 'Follow-Up', 'Follow-Up']]","[[88, 90, 100]]"
100,CARAVELLE-PHO 79 RESTAURANT,2529 NICOLLET AVE,44.95633,-93.27747,"[[11615, 220029, 220028, 267889, 325798]]","[['2017/08/17', '2017/10/05', '2018/08/20', '2019/08/20', '2019/10/18']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[94, 100, 96, 90, 100]]"
101,CARBONES PIZZA ON THE PARKWAY,4705 CEDAR AVE S,44.91756,-93.2469,"[[11642, 190129, 244905, 244904, 303452, 303451]]","[['2017/02/09', '2018/02/22', '2018/04/04', '2019/03/04', '2019/04/15', '2020/02/03']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[98, 90, 98, 94, 100, 96]]"
102,CARGO FOOD AUTHORITY,600 1ST AVE N,44.97951,-93.27612,"[[280888, 298312]]","[['2019/02/07', '2020/02/05']]","[['Routine', 'Routine']]","[[98, 80]]"
103,CARIBOU COFFEE #178,200 6TH ST S,44.9769,-93.26762,"[[18798, 189230]]","[['2017/01/24', '2019/01/14']]","[['Routine', 'Routine']]","[[98, 98]]"
104,CARMA COFFEE,514 LOWRY AVE NE,45.01305,-93.25953,"[[18810, 228259, 275301]]","[['2017/10/03', '2018/10/09', '2019/10/03']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 96]]"
105,CARNICERIA VALERIES,3149 NICOLLET AVE,44.9452,-93.27753,"[[124311, 124118, 124310, 124117, 251664, 251663]]","[['2017/01/06', '2017/01/06', '2018/05/21', '2018/05/21', '2018/07/11', '2019/11/20']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine']]","[[100, 100, 96, 92, 98, 92]]"
106,CASPIAN BISTRO,2418 UNIVERSITY AVE SE,44.97317,-93.22218,"[[18952, 205094, 214842, 205093, 254199, 254198]]","[['2017/07/19', '2017/08/09', '2017/08/23', '2018/07/10', '2018/08/30', '2019/07/25']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[86, 84, 96, 86, 96, 94]]"
107,CASPIAN MARKET PLACE,2418 UNIVERSITY AVE SE,44.97317,-93.22218,[[18957]],[['2018/07/10']],[['Routine']],[[100]]
108,CATHAY CHOW MEIN,5455 NICOLLET AVE,44.90363,-93.27773,"[[124284, 124283, 256208, 256207]]","[['2017/01/11', '2018/07/03', '2018/08/29', '2019/06/27']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[100, 86, 100, 92]]"
109,CAVE VIN,5555 XERXES AVE S,44.90186,-93.31846,"[[19039, 192555, 247073, 308106]]","[['2017/03/07', '2018/03/28', '2019/04/03', '2019/05/30']]","[['Routine', 'Routine', 'Routine', 'Follow-Up']]","[[100, 96, 82, 94]]"
110,CHATTERBOX PUB,2229 35TH ST E,44.93937,-93.23914,"[[25444, 199840, 205213, 199839, 253445, 266519, 275500, 285248, 296457, 253444]]","[['2017/05/22', '2017/07/17', '2017/09/19', '2018/06/26', '2018/08/15', '2018/10/12', '2018/12/11', '2019/02/08', '2019/04/11', '2019/07/22']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine']]","[[88, 88, 100, 92, 96, 96, 96, 96, 96, 94]]"
111,CHEESE LOUISE,4279 SHERIDAN AVE S,44.92482,-93.31413,[[310181]],[['2019/07/09']],[['Routine']],[[98]]
112,CHICAGO LAKE LIQUORS,825 LAKE ST E,44.94807,-93.26167,[[25743]],[['2018/06/05']],[['Routine']],[[100]]
113,CHIMBORAZO RESTAURANT,2851 CENTRAL AVE NE,45.02024,-93.24682,"[[25865, 231101, 277634]]","[['2017/10/26', '2018/10/25', '2019/10/25']]","[['Routine', 'Routine', 'Routine']]","[[94, 96, 100]]"
114,CHIN DIAN CAFE,1500 HENNEPIN AVE E,44.9913,-93.23038,"[[124095, 197675, 124094, 234480, 241465, 234479, 285916, 285915]]","[['2017/05/04', '2017/06/20', '2017/12/04', '2018/01/24', '2018/02/21', '2018/12/19', '2019/02/27', '2020/01/03']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[94, 100, 96, 96, 98, 96, 96, 86]]"
115,CHINA EXPRESS,409 14TH AVE SE,44.98081,-93.23585,"[[233206, 266290, 275177, 266289]]","[['2018/08/15', '2018/09/25', '2018/11/14', '2019/08/15']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[96, 96, 100, 96]]"
116,CHINA KITCHEN,330 2ND AVE S #230,44.97927,-93.26702,"[[309344, 314424]]","[['2019/06/26', '2019/07/18']]","[['Routine', 'Follow-Up']]","[[90, 98]]"
117,CHINA MOON,2929 DUPONT AVE S,44.94886,-93.29281,"[[180446, 190430, 180445, 242306, 242056, 287217, 299660, 287216, 340537]]","[['2017/02/10', '2017/03/28', '2018/01/17', '2018/03/03', '2019/01/08', '2019/02/12', '2019/03/28', '2020/01/08', '2020/01/21']]","[['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[96, 98, 88, 100, 86, 92, 100, 86, 100]]"
118,CHINA WOK,2800 27TH AVE S,44.9518,-93.23336,"[[124359, 25916, 231479, 231478, 279611, 279610, 337059]]","[['2017/02/03', '2017/10/27', '2017/12/07', '2018/11/16', '2019/01/11', '2019/11/13', '2020/01/10']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 90, 100, 96, 98, 76, 92]]"
119,CHINESE EXPRESS,121 LAKE ST E,44.948,-93.27576,"[[26000, 202177, 202176, 259375, 259374]]","[['2017/06/21', '2017/08/02', '2018/07/30', '2018/10/11', '2019/07/31']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[84, 100, 84, 100, 92]]"
120,CHINO LATINO,2916 HENNEPIN AVE,44.94859,-93.29867,"[[181178, 181177, 241250, 246348, 241249, 291033, 291032]]","[['2017/03/22', '2018/01/12', '2018/03/14', '2018/05/08', '2019/01/18', '2019/03/08', '2020/01/23']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 72, 96, 100, 96, 98, 96]]"
121,CHIPOTLE MEXICAN GRILL,2600 HENNEPIN AVE,44.95528,-93.29748,"[[31360, 180927, 242478]]","[['2017/01/03', '2018/02/08', '2019/02/13']]","[['Routine', 'Routine', 'Routine']]","[[100, 96, 100]]"
122,CHIPOTLE MEXICAN GRILL,1040 NICOLLET MALL,44.97396,-93.27563,"[[31336, 192841, 245767]]","[['2017/03/17', '2018/03/09', '2019/03/06']]","[['Routine', 'Routine', 'Routine']]","[[92, 100, 100]]"
123,CHIPOTLE MEXICAN GRILL #21,800 WASHINGTON AVE SE,44.97341,-93.2268,"[[31384, 194027, 247153]]","[['2017/03/27', '2018/04/02', '2019/04/01']]","[['Routine', 'Routine', 'Routine']]","[[98, 100, 96]]"
124,CHOMPED GRILL,735 48TH ST E,44.91592,-93.26318,[[311411]],[['2019/07/22']],[['Routine']],[[100]]
125,CHRIS & ROBS CHICAGOS TASTE AUTHORITY,3101 42ND ST E,44.92668,-93.22671,"[[180845, 180844, 242171]]","[['2017/02/22', '2018/02/05', '2019/02/27']]","[['Follow-Up', 'Routine', 'Routine']]","[[100, 100, 96]]"
126,CHRISTOS,2632 NICOLLET AVE,44.95446,-93.27833,"[[31493, 213919, 263859, 263858, 322914]]","[['2017/08/08', '2018/08/08', '2018/09/28', '2019/08/08', '2019/09/26']]","[['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[100, 86, 100, 90, 98]]"
127,CLANCEYS MEATS & FISH,4307 UPTON AVE S,44.92414,-93.3145,"[[31866, 31894, 193017, 193014, 246798, 251000, 253836, 246796, 246797, 308224]]","[['2017/03/14', '2017/03/14', '2018/03/21', '2018/03/21', '2018/05/16', '2018/06/25', '2018/09/06', '2019/04/10', '2019/04/10', '2019/05/22']]","[['Routine', 'Routine', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[100, 96, 100, 78, 92, 90, 100, 94, 84, 96]]"
128,CLIFF N NORMS BAR,2024 WASHINGTON AVE N,45.00008,-93.28133,"[[31953, 193967]]","[['2017/03/10', '2018/03/26']]","[['Routine', 'Routine']]","[[100, 96]]"
129,CLUBHOUSE JAEGER,923 WASHINGTON AVE N,44.98992,-93.28075,"[[38284, 212557, 258143]]","[['2017/08/04', '2018/07/25', '2019/08/14']]","[['Routine', 'Routine', 'Routine']]","[[100, 98, 94]]"
130,COALITION RESTAURANT,3808 50TH ST W,44.91285,-93.32813,[[332695]],[['2019/10/15']],[['Routine']],[[100]]
131,COCINA LATINA,3764 NICOLLET AVE,44.93444,-93.27824,"[[38311, 194536, 194535, 247988, 247987]]","[['2017/04/05', '2017/05/04', '2018/04/11', '2018/06/04', '2019/04/23']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[96, 100, 82, 100, 98]]"
132,CODE BLU COFFEE,2620 FRANKLIN AVE E,44.96301,-93.23344,"[[236823, 243566]]","[['2018/02/21', '2019/08/20']]","[['Routine', 'Routine']]","[[96, 100]]"
133,COFFEE SHOP NORTHEAST,2852 JOHNSON ST NE,45.02017,-93.23749,"[[38358, 228240, 272326]]","[['2017/09/28', '2018/09/20', '2019/09/20']]","[['Routine', 'Routine', 'Routine']]","[[96, 100, 96]]"
134,COLITA,5400 PENN AVE S,44.90491,-93.30905,[[275361]],[['2019/01/28']],[['Routine']],[[100]]
135,COMMON ROOTS CAFE,2558 LYNDALE AVE S,44.9557,-93.28846,"[[38525, 223963, 271355, 330877]]","[['2017/08/24', '2018/09/06', '2019/09/30', '2019/11/25']]","[['Routine', 'Routine', 'Routine', 'Follow-Up']]","[[98, 100, 90, 100]]"
136,CONEXION AT OPEN BOOK,1011 WASHINGTON AVE S,44.97542,-93.25421,"[[38708, 191093, 245927]]","[['2017/02/22', '2018/02/28', '2019/02/28']]","[['Routine', 'Routine', 'Routine']]","[[100, 96, 100]]"
137,CONGA LATIN BISTRO,501 HENNEPIN AVE E,44.9893,-93.25348,"[[38727, 191293, 245745, 249234, 254371, 245744, 304332]]","[['2017/02/22', '2018/02/27', '2018/04/19', '2018/07/10', '2018/08/30', '2019/03/12', '2019/05/07']]","[['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[94, 78, 88, 96, 100, 88, 100]]"
138,CORNER BAR (THE),1501 WASHINGTON AVE S,44.97274,-93.24773,"[[38872, 227819, 272804]]","[['2017/09/12', '2018/09/19', '2019/09/18']]","[['Routine', 'Routine', 'Routine']]","[[98, 100, 98]]"
139,COSTA BLANCA BISTRO,2416 CENTRAL AVE NE,45.01276,-93.24788,"[[124917, 45565, 230957, 231733, 236887, 242006, 245171, 228252, 277393, 332690]]","[['2017/01/12', '2017/10/02', '2017/10/31', '2017/12/15', '2018/01/22', '2018/02/21', '2018/03/23', '2018/10/02', '2019/10/02', '2019/11/15']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[96, 92, 98, 98, 98, 98, 100, 98, 84, 100]]"
140,COURTYARD MINNEAPOLIS DOWNTOWN,1500 WASHINGTON AVE S,44.97385,-93.24784,"[[45627, 45631, 189648, 242845, 236894]]","[['2017/01/31', '2017/12/21', '2018/02/06', '2019/02/11', '2019/12/20']]","[['Routine', 'Routine', 'Routine', 'Routine', 'Routine']]","[[96, 100, 100, 100, 100]]"
141,CRAVE,825 HENNEPIN AVE #222,44.97643,-93.27643,"[[45732, 201326, 201325, 263506, 263505, 321265]]","[['2017/06/12', '2017/07/18', '2018/08/07', '2018/09/26', '2019/08/05', '2019/09/09']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[66, 100, 84, 100, 72, 92]]"
142,CRAVE CAFE,2100 SUMMER ST NE,44.99603,-93.23046,"[[181303, 236544, 236543, 286890]]","[['2017/12/21', '2018/02/03', '2018/12/21', '2020/01/02']]","[['Routine', 'Follow-Up', 'Routine', 'Routine']]","[[80, 100, 98, 94]]"
143,CREPE AND SPOON,339 22ND AVE NE,45.01032,-93.26248,"[[235486, 245156]]","[['2018/02/16', '2019/08/16']]","[['Routine', 'Routine']]","[[100, 100]]"
144,CREPES UP DELICIOUS,120 6TH ST S #211,44.97736,-93.26875,"[[45882, 232488, 276855]]","[['2017/11/08', '2018/10/23', '2019/10/21']]","[['Routine', 'Routine', 'Routine']]","[[92, 96, 96]]"
145,CRISP & GREEN,428 WASHINGTON AVE N,44.98619,-93.27411,"[[203686, 232479, 232478, 279484, 336903]]","[['2017/11/06', '2017/12/15', '2018/11/15', '2019/11/08', '2019/12/05']]","[['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[88, 96, 96, 84, 100]]"
146,CRISP & GREEN - DINKYTOWN,411 14TH AVE SE,44.98101,-93.23569,[[281500]],[['2019/02/26']],[['Routine']],[[96]]
147,"CROOKED PINT ALEHOUSE, THE",501 WASHINGTON AVE S,44.97837,-93.26124,"[[45985, 223646, 214806, 262132, 262131, 322141]]","[['2017/08/09', '2017/09/07', '2018/08/07', '2018/09/07', '2019/08/07', '2019/09/12']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[84, 94, 96, 100, 82, 96]]"
148,CROWNE PLAZA - EXECUTIVE LOUNGE,618 2ND AVE S,44.97622,-93.26974,"[[46079, 202678, 285801]]","[['2017/06/28', '2018/02/14', '2019/02/12']]","[['Routine', 'Routine', 'Routine']]","[[100, 94, 98]]"
149,CROWNE PLAZA - KRONA BAR & GRILL,618 2ND AVE S,44.97622,-93.26974,"[[46063, 189934, 242957]]","[['2017/02/01', '2018/02/14', '2019/02/12']]","[['Routine', 'Routine', 'Routine']]","[[98, 96, 100]]"
150,CROWNE PLAZA NORTHSTAR,618 2ND AVE S,44.97622,-93.26974,"[[46061, 190563, 189900, 242983, 242982, 297621]]","[['2017/02/01', '2017/03/17', '2018/02/14', '2018/03/16', '2019/02/12', '2019/03/26']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[90, 96, 74, 90, 90, 100]]"
151,CRYSTAL GARDEN,4711 HIAWATHA AVE,44.91764,-93.21581,"[[46113, 193944, 193943, 248336, 248335]]","[['2017/03/22', '2017/04/25', '2018/04/20', '2018/06/11', '2019/04/18']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']]","[[94, 98, 88, 100, 96]]"
152,CUPPA JAVA,400 PENN AVE S,44.9733,-93.30865,"[[53095, 201334, 251747]]","[['2017/05/26', '2018/05/29', '2019/05/30']]","[['Routine', 'Routine', 'Routine']]","[[100, 100, 92]]"
153,DAGWOODS,250 2ND AVE S #210,44.98025,-93.26627,"[[180790, 180789, 236873, 286462]]","[['2017/03/08', '2017/12/29', '2018/12/27', '2019/12/16']]","[['Follow-Up', 'Routine', 'Routine', 'Routine']]","[[100, 96, 100, 94]]"
154,DAKOTA JAZZ CLUB & RESTAURANT,1010 NICOLLET MALL,44.97396,-93.27563,"[[53615, 208358, 208357, 262464, 262463, 318017]]","[['2017/07/19', '2017/08/16', '2018/07/25', '2018/09/06', '2019/07/23', '2019/08/19']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[80, 96, 86, 100, 88, 96]]"
155,DAN KELLY'S PUB,212 7TH ST S,44.97573,-93.26894,"[[124538, 39064, 207382, 226973, 232247, 207381, 263526, 323950]]","[['2017/04/03', '2017/07/25', '2017/09/26', '2017/11/06', '2017/12/19', '2018/08/10', '2019/08/13', '2019/10/08']]","[['Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']]","[[96, 62, 88, 92, 96, 92, 78, 94]]"
156,DANCING GANESHA,1100 HARMON PL,44.97428,-93.27887,"[[193524, 200000, 202527, 199999, 251425, 251424, 310496]]","[['2017/05/23', '2017/06/21', '2017/08/04', '2018/05/22', '2018/06/19', '2019/05/15', '2019/06/13']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[86, 90, 100, 86, 100, 86, 92]]"
157,DARBAR INDIA GRILL,1221 LAKE ST W #105,44.94814,-93.2951,"[[53745, 224385, 230772, 237380, 224384, 272210, 278488, 272209]]","[['2017/08/29', '2017/10/23', '2018/01/08', '2018/02/13', '2018/09/13', '2018/10/31', '2018/12/12', '2019/09/13']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[84, 92, 96, 98, 66, 72, 94, 92]]"
158,DAVE THE PIE GUY,3544 GRAND AVE S,44.93799,-93.28465,"[[203941, 214007, 214006, 262842, 262841, 323766]]","[['2017/08/08', '2017/09/07', '2018/08/08', '2018/10/17', '2019/08/09', '2019/09/10']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[72, 96, 96, 96, 82, 96]]"
159,DAVES DOWNTOWN,900 2ND AVE S #230,44.9737,-93.27186,"[[60404, 202521, 202520, 253367, 253366, 314556]]","[['2017/06/20', '2017/08/07', '2018/06/22', '2018/07/25', '2019/06/25', '2019/07/22']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[92, 100, 90, 100, 86, 96]]"
160,DAY BLOCK BREWING COMPANY,1105 WASHINGTON AVE S,44.97493,-93.25307,"[[60422, 191853, 191852, 245409, 245408, 303471]]","[['2017/02/20', '2017/04/21', '2018/02/27', '2018/04/04', '2019/03/05', '2019/04/15']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']]","[[82, 100, 92, 100, 94, 94]]"
161,DLA PIPER,80 8TH ST S,44.97609,-93.27207,[[253450]],[['2018/09/05']],[['Routine']],[[100]]
162,DOMINGUEZ FAMILY RESTAURANT,3313 50TH ST E,44.91231,-93.2236,"[[180841, 180840, 237401, 287827, 340700]]","[['2017/02/21', '2018/01/09', '2019/01/10', '2020/01/10', '2020/01/23']]","[['Follow-Up', 'Routine', 'Routine', 'Routine', 'Follow-Up']]","[[96, 98, 98, 88, 88]]"
163,DONG HAE KOREAN GRILL & SUSHI,251 1ST AVE N,44.9822,-93.27071,"[[12042, 181367, 190427, 181366, 242464, 247489, 242463, 294174, 307934, 309979, 294173, 348273]]","[['2017/01/12', '2017/02/13', '2017/03/14', '2018/02/06', '2018/04/04', '2018/05/15', '2019/01/25', '2019/03/27', '2019/05/04', '2019/06/06', '2020/01/21', '2020/02/03']]","[['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']]","[[82, 96, 98, 86, 92, 96, 76, 90, 90, 94, 78, 86]]"
164,DRAGON WOK,3752 NICOLLET AVE,44.93444,-93.27824,"[[12250, 181141, 181140, 240473, 243613, 240472, 293797, 304810, 293796]]","[['2017/01/03', '2017/03/08', '2018/01/09', '2018/02/12', '2018/03/26', '2019/01/22', '2019/03/19', '2019/05/01', '2020/01/15']]","[['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']]","[[94, 96, 100, 100, 96, 94, 96, 94, 88]]"
165,DULONO'S PIZZA,118 4TH ST N,44.982,-93.27295,"[[198093, 209024, 265084]]","[['2017/07/27', '2018/08/15', '2019/08/16']]","[['Routine', 'Routine', 'Routine']]","[[92, 96, 98]]"
