,inspect_name,address,zipcode,neighborhood,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated
319,UNIQUE FOOD SOLUTIONS,2501 STEVENS AVE,55404,Whittier,44.95653,-93.27428,"[43586, 224219, 269996]","['2017/08/31', '2018/08/30', '2019/08/26']","['Routine', 'Routine', 'Routine']","[96, 98, 94]","Sun, Mar 15, 2020 at 04:27 PM"
320,"UNIVERSITY OF MN MEDICAL CTR, FAIRVIEW",2414 7TH ST S,55454,Cedar Riverside,44.9675,-93.23691,"[43739, 232263, 232262, 277002, 277001]","['2017/10/24', '2017/11/27', '2018/10/23', '2018/12/11', '2019/10/25']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[92, 96, 90, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
321,UP-DOWN,3012 LYNDALE AVE S,55408,Hawthorne,45.01113,-93.28755,"[50272, 206454, 206453, 263869, 263868]","['2017/07/18', '2017/09/18', '2018/08/02', '2018/10/03', '2019/08/02']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[92, 96, 84, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
322,UPTOWN HUB,2905 GARFIELD AVE,55408,Whittier,44.94983,-93.28645,"[50339, 196865, 249321]","['2017/04/25', '2018/05/07', '2019/05/06']","['Routine', 'Routine', 'Routine']","[96, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
323,VARSITY THEATRE,1308 4TH ST SE,55414,Marcy Holmes,44.98057,-93.23692,"[240361, 247873]","['2018/04/13', '2019/04/17']","['Routine', 'Routine']","[96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
324,VITTLES,3507 23RD AVE S,55407,Corcoran,44.93929,-93.23867,"[191902, 199767, 253443, 253442]","['2017/05/22', '2018/06/26', '2018/08/14', '2019/07/17']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[98, 92, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
325,W MINNEAPOLIS - THE FOSHAY,821 MARQUETTE AVE,55402,Downtown West,44.97448,-93.2718,"[58445, 208287, 208286, 254897, 254896]","['2017/07/19', '2017/08/16', '2018/07/17', '2018/08/15', '2019/07/15']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[80, 96, 92, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
326,WALKER PLACE,3701 BRYANT AVE S,55409,East Harriet,44.93555,-93.29014,"[58706, 196291, 200975, 214082, 196290, 247827, 247826]","['2017/04/17', '2017/06/01', '2017/08/01', '2017/10/05', '2018/04/06', '2018/06/06', '2019/04/19']","['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[92, 92, 92, 96, 94, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
327,WATER BAR & PUBLIC STUDIO,2518 CENTRAL AVE NE,55418,Holland,45.01381,-93.24788,"[232282, 241784]","['2018/01/20', '2019/01/24']","['Routine', 'Routine']","[96, 94]","Sun, Mar 15, 2020 at 04:27 PM"
328,WELLINGTON ROOM,4300 WEST RIVER PKWY S #ATTN: TOM ,55406,Hiawatha,44.9246,-93.20606,"[65115, 220471, 270506, 270505]","['2017/08/22', '2018/09/05', '2018/10/23', '2019/08/22']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[98, 80, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
329,WESTIN MINNEAPOLIS,88 6TH ST S,55402,Downtown West,44.97774,-93.27022,"[65295, 203801, 203800, 259648, 259647, 319525]","['2017/07/10', '2017/08/15', '2018/07/30', '2018/09/19', '2019/07/30', '2019/09/05']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[70, 96, 62, 92, 84, 96]","Sun, Mar 15, 2020 at 04:27 PM"
330,WHOLE FOODS MARKET,3060 EXCELSIOR BLVD,55416,West Calhoun,44.94759,-93.32256,"[65475, 202200, 202199, 254650, 254649]","['2017/06/23', '2017/07/11', '2018/06/27', '2018/07/27', '2019/06/27']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[94, 98, 92, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
331,WIILO COFFEE,311 LAKE ST W,55408,Lyndale,44.94819,-93.28341,"[278183, 304850]","['2019/03/06', '2019/06/20']","['Routine', 'Follow-Up']","[88, 100]","Sun, Mar 15, 2020 at 04:27 PM"
332,WOMAN'S CLUB OF MPLS,410 OAK GROVE ST,55403,Loring Park,44.96772,-93.28469,"[17632, 216086, 265761, 265760, 327249]","['2017/08/10', '2018/08/15', '2018/09/18', '2019/08/20', '2019/09/26']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[84, 88, 96, 80, 94]","Sun, Mar 15, 2020 at 04:27 PM"
333,ZEN BOX IZAKAYA,602 WASHINGTON AVE S,55401,University of Minnesota,44.97341,-93.2299,"[24213, 196859, 248011]","['2017/04/25', '2018/04/17', '2019/05/22']","['Routine', 'Routine', 'Routine']","[96, 94, 100]","Sun, Mar 15, 2020 at 04:27 PM"
334,5TH STREET STATION,416 5TH AVE N,55401,Marcy Holmes,44.9859,-93.24746,[316382],['2019/07/26'],['Routine'],[96],"Sun, Mar 15, 2020 at 04:27 PM"
335,A CUPCAKE SOCIAL,3800 28TH AVE S,55406,Standish,44.93395,-93.23234,"[44891, 191160, 245360, 245359]","['2017/02/22', '2018/03/01', '2018/05/03', '2019/03/08']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 96, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
336,ABBOTT NORTHWESTERN HOSPITAL,800 28TH ST E,55407,Midtown Phillips,44.95458,-93.26133,"[51355, 195001, 195000, 247588, 247587]","['2017/04/05', '2017/05/04', '2018/04/09', '2018/05/08', '2019/04/11']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[92, 98, 92, 96, 98]","Sun, Mar 15, 2020 at 04:27 PM"
337,AFC SUSHI @ KOWALSKIS #5368,5327 LYNDALE AVE S,55419,Tangletown,44.90559,-93.28761,"[51560, 202380, 253340]","['2017/06/22', '2018/06/25', '2019/06/20']","['Routine', 'Routine', 'Routine']","[98, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
338,APOTHICARE,3722 CHICAGO AVE,55407,Central,44.93505,-93.26289,[267122],['2018/10/22'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
339,AUGSBURG COLLEGE,2211 RIVERSIDE AVE,55454,Cedar Riverside,44.96561,-93.24177,"[18324, 232562]","['2017/11/08', '2019/11/15']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
340,BANGKOK MARKET & VIDEO RENTAL,3100 LYNDALE AVE N,55411,Hawthorne,45.01224,-93.28759,"[181006, 232660, 279659, 281507, 279658]","['2017/11/09', '2018/11/15', '2018/12/14', '2019/01/15', '2019/11/08']","['Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine']","[100, 90, 90, 98, 96]","Sun, Mar 15, 2020 at 04:27 PM"
341,BIRRAA RESTAURANT,12 FRANKLIN AVE E,55404,Steven's Square - Loring Heights,44.96291,-93.27711,"[253958, 278903, 278902]","['2018/10/30', '2018/12/18', '2019/10/30']","['Routine', 'Follow-Up', 'Routine']","[90, 98, 96]","Sun, Mar 15, 2020 at 04:27 PM"
342,BLUE BELL ENTERPRISES INC,401 NICOLLET MALL,55401,Downtown West,44.97939,-93.26955,"[217960, 218659, 218658, 266317, 266316, 325752]","['2017/08/16', '2017/10/12', '2018/08/20', '2018/09/21', '2019/08/21', '2019/09/27']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[84, 98, 88, 100, 86, 98]","Sun, Mar 15, 2020 at 04:27 PM"
343,BRAVE NEW WORKSHOP,824 HENNEPIN AVE,55403,Downtown West,44.97694,-93.27692,"[45446, 226817, 273511, 273510]","['2017/09/18', '2018/09/29', '2018/10/10', '2019/10/03']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 88, 98, 92]","Sun, Mar 15, 2020 at 04:27 PM"
344,CAFE & BAR LURCAT,1624 HARMON PL,55403,Loring Park,44.97148,-93.28574,"[124234, 124233, 234251, 234250, 285065]","['2017/03/03', '2017/11/29', '2018/01/03', '2018/12/17', '2019/12/18']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine']","[100, 92, 100, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
345,CANDYLAND,811 LASALLE AVE,55402,Downtown West,44.97592,-93.27444,"[11470, 225575, 225574]","['2017/09/12', '2017/10/10', '2019/03/06']","['Routine', 'Follow-Up', 'Routine']","[90, 98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
346,CAPITAL CAFE,2425 FRANKLIN AVE E,55406,Seward,44.96248,-93.23692,"[329360, 337340, 340124]","['2019/11/12', '2020/01/02', '2020/01/16']","['Routine', 'Follow-Up', 'Follow-Up']","[88, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
347,CEDAR HALAL PIZZA AND DELI,3203 CEDAR AVE S,55407,Corcoran,44.9445,-93.247,"[230936, 244946, 303778, 303777]","['2018/02/26', '2019/02/14', '2019/03/13', '2020/02/12']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 98, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
348,CHOWGIRLS KILLER CATERING,711 15TH AVE NE,55413,Near - North,44.99384,-93.28835,"[246650, 248814]","['2018/04/08', '2019/05/30']","['Routine', 'Routine']","[100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
349,COBBLE LLC,610 28TH ST W,55408,Whittier,44.95228,-93.2871,[278780],['2019/06/16'],['Routine'],[94],"Sun, Mar 15, 2020 at 04:27 PM"
350,COLUMBIA CAFE,3300 CENTRAL AVE NE,55418,Columbia Park,45.02732,-93.25528,[309506],['2019/06/18'],['Routine'],[96],"Sun, Mar 15, 2020 at 04:27 PM"
351,CREATE CATERING & CONSULTING,1121 JACKSON ST NE #145,55413,Logan Park,44.99928,-93.24896,"[45853, 201155, 252679]","['2017/06/06', '2018/10/01', '2019/06/10']","['Routine', 'Routine', 'Routine']","[96, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
352,CROWNE PLAZA - EXECUTIVE LOUNGE,618 2ND AVE S,55402,Downtown West,44.97622,-93.26974,"[46079, 202678, 285801, 297642]","['2017/06/28', '2018/02/14', '2019/02/12', '2020/02/11']","['Routine', 'Routine', 'Routine', 'Routine']","[100, 94, 98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
353,CUB FOODS #1587,4601 SNELLING AVE,55406,Hiawatha,44.91879,-93.21571,"[309828, 318027]","['2019/07/25', '2019/08/23']","['Routine', 'Follow-Up']","[90, 96]","Sun, Mar 15, 2020 at 04:27 PM"
354,CUB FOODS-LAKE STREET,2850 26TH AVE S,55406,Longfellow,44.95151,-93.23566,"[46297, 191079, 246050, 246049, 304324]","['2017/02/14', '2018/03/12', '2018/05/08', '2019/03/14', '2019/05/21']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[96, 84, 100, 96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
355,D'AMICO CATERING AT THE ATRIUM,275 MARKET ST #C25,55405,Sumner - Glenwood,44.98119,-93.28917,"[53353, 202978, 202977, 256714, 254907]","['2017/06/22', '2017/08/25', '2018/07/19', '2018/09/24', '2019/07/18']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[98, 100, 94, 100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
356,DECO CATERING,2010 HENNEPIN AVE E,55413,Como,44.99073,-93.22403,"[192459, 246417, 246416]","['2018/03/20', '2018/05/08', '2019/03/22']","['Routine', 'Follow-Up', 'Routine']","[84, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
357,DELTA HOTEL,1330 INDUSTRIAL BLVD,55413,Mid - City Industrial,45.00241,-93.21301,"[42080, 193093, 193092, 243272, 301082, 301081, 357163]","['2017/03/14', '2017/05/17', '2018/02/15', '2019/02/22', '2019/04/19', '2020/02/24', '2020/02/27']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[96, 100, 98, 80, 100, 84, 98]","Sun, Mar 15, 2020 at 04:27 PM"
358,DOUBLETREE HOTEL,1101 LASALLE AVE,55403,Downtown West,44.97314,-93.2768,"[251127, 251898]","['2018/06/04', '2019/05/30']","['Routine', 'Routine']","[96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
359,DR49,4953 XERXES AVE S,55410,Fulton,44.9127,-93.3186,[307787],['2019/06/14'],['Routine'],[94],"Sun, Mar 15, 2020 at 04:27 PM"
360,DREAMGIRLS,12 5TH ST N,55401,Downtown West,44.98012,-93.27276,[12300],['2018/07/13'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
361,DURDUR BAKERY & GROCERY,1552 LAKE ST E,55407,East Phillips,44.94878,-93.25147,"[19767, 192131, 254678, 254677]","['2017/01/13', '2018/07/09', '2018/08/13', '2020/01/02']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 98, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
362,EDIBLE ARRANGEMENTS,733 MARQUETTE AVE,55402,Downtown West,44.97555,-93.271,"[200032, 200039, 200038, 280607, 337607]","['2017/05/24', '2017/07/10', '2018/11/29', '2019/11/20', '2019/12/20']","['Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[84, 100, 98, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
363,EL SABOR CHUCHI,717 LAKE ST E,55407,Central,44.94813,-93.26429,"[229290, 229355, 229354, 274612, 274611]","['2017/10/12', '2017/11/15', '2018/10/04', '2018/11/06', '2019/10/04']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[92, 98, 94, 98, 92]","Sun, Mar 15, 2020 at 04:27 PM"
364,ELLIOT PARK HOTEL,823 5TH AVE S,55404,Elliot Park,44.97226,-93.26597,"[272240, 279901]","['2018/11/16', '2019/11/06']","['Routine', 'Routine']","[100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
365,EMERY,215 4TH ST S,55401,Downtown West,44.97817,-93.26685,"[236502, 245357, 247146, 245356, 302274]","['2018/02/28', '2018/04/02', '2018/05/31', '2019/02/28', '2020/03/02']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine']","[84, 94, 100, 98, 80]","Sun, Mar 15, 2020 at 04:27 PM"
366,EUREST DINING,90 HENNEPIN AVE,55401,North Loop,44.98568,-93.26717,"[32585, 195331, 195330, 247851]","['2017/04/14', '2017/04/24', '2018/04/12', '2019/04/19']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[92, 100, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
367,EUREST DINING SERVICES - THRIVENT,625 4TH AVE S #100,55415,Downtown West,44.97478,-93.26571,"[32684, 205594, 259474, 319563]","['2017/07/18', '2018/07/31', '2019/07/31', '2019/09/10']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[96, 100, 88, 100]","Sun, Mar 15, 2020 at 04:27 PM"
368,FLAG FOODS,2820 42ND ST E,55406,Standish,44.92711,-93.23121,"[308153, 315022, 318019]","['2019/06/26', '2019/07/26', '2019/09/19']","['Routine', 'Follow-Up', 'Follow-Up']","[56, 84, 96]","Sun, Mar 15, 2020 at 04:27 PM"
369,GALEEYR COFFEE,2910 PILLSBURY AVE #302,55408,Whittier,44.94969,-93.2821,"[203705, 226623, 237086, 226622, 304540, 313976]","['2017/09/14', '2018/01/03', '2018/02/20', '2019/03/14', '2019/06/19', '2019/08/22']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']","[84, 94, 98, 70, 84, 100]","Sun, Mar 15, 2020 at 04:27 PM"
370,GAS/PLUS 4,4419 FRANCE AVE S,55410,Linden Hills,44.92182,-93.32883,"[295733, 295797, 295796]","['2019/02/05', '2019/03/08', '2020/02/05']","['Routine', 'Follow-Up', 'Routine']","[82, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
371,GOLDERN FINGERS,1914 CHICAGO AVE,55404,Ventura Village,44.96315,-93.26296,"[247382, 252141, 252140, 313196]","['2018/06/05', '2018/07/09', '2019/05/31', '2019/07/31']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[92, 100, 74, 100]","Sun, Mar 15, 2020 at 04:27 PM"
372,GRADUATE MINNEAPOLIS HOTEL,615 WASHINGTON AVE SE,55414,University of Minnesota,44.97419,-93.22952,"[249670, 254637, 315078]","['2018/07/16', '2019/07/09', '2019/09/27']","['Routine', 'Routine', 'Follow-Up']","[94, 78, 96]","Sun, Mar 15, 2020 at 04:27 PM"
373,GUSE GREEN GROCER,4602 BRYANT AVE S,55419,Lynnhurst,44.91939,-93.29125,"[20334, 224932, 272527, 272526]","['2017/09/11', '2018/09/18', '2018/11/16', '2019/09/11']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[100, 90, 92, 100]","Sun, Mar 15, 2020 at 04:27 PM"
374,HAMPTON INN & SUITES,19 8TH ST N,55403,Downtown West,44.97681,-93.27563,"[20629, 230196, 275098, 332721]","['2017/10/17', '2018/10/04', '2019/10/03', '2019/10/28']","['Routine', 'Routine', 'Routine', 'Follow-Up']","[100, 100, 84, 96]","Sun, Mar 15, 2020 at 04:27 PM"
375,HAYAT RESTAURANT,1202 LAKE ST E,55407,Midtown Phillips,44.94861,-93.25718,"[321764, 333827]","['2019/10/15', '2019/11/13']","['Routine', 'Follow-Up']","[90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
376,HENNEPIN THEATRE TRUST,900 HENNEPIN AVE,55403,Downtown West,44.97654,-93.27743,"[237153, 247160]","['2018/03/23', '2019/04/12']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
377,HILLEL,1521 UNIVERSITY AVE SE,55414,University of Minnesota,44.97889,-93.234,"[32912, 232277]","['2017/10/20', '2019/04/24']","['Routine', 'Routine']","[98, 96]","Sun, Mar 15, 2020 at 04:27 PM"
378,HISSHO SUSHI,1450 LAKE ST W,55408,East Isles,44.94865,-93.29984,"[33077, 191096, 245376, 245375]","['2017/02/14', '2018/03/05', '2018/05/01', '2019/03/22']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 96, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
379,HOLIDAY STATION STORE #468,620 CENTRAL AVE NE,55414,Marcy Holmes,44.9902,-93.25133,"[243850, 251609, 251608]","['2018/05/24', '2018/07/06', '2019/11/21']","['Routine', 'Follow-Up', 'Routine']","[94, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
380,HOLIDAY STATIONSTORE #332,4601 HIAWATHA AVE,55406,Hiawatha,44.91929,-93.21766,"[236363, 243726, 303036, 303035]","['2018/02/23', '2019/03/05', '2019/05/21', '2020/02/28']","['Routine', 'Routine', 'Follow-Up', 'Routine']","[96, 88, 100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
381,HOLIDAY STATIONSTORE #461,1624 WASHINGTON AVE N,55411,Near - North,44.9958,-93.28105,"[236367, 243517]","['2018/02/21', '2019/02/25']","['Routine', 'Routine']","[96, 100]","Sun, Mar 15, 2020 at 04:27 PM"
382,HUI'S CHOW MEIN,1118 LOWRY AVE N,55411,Windom Park,45.01297,-93.24292,"[39816, 223937, 271542]","['2017/08/30', '2018/09/12', '2019/09/17']","['Routine', 'Routine', 'Routine']","[96, 98, 96]","Sun, Mar 15, 2020 at 04:27 PM"
383,ILLUSION THEATER,528 HENNEPIN AVE,55403,Downtown West,44.9794,-93.27351,"[40181, 185802]","['2017/01/12', '2019/01/23']","['Routine', 'Routine']","[100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
384,JUBA COFFEE AND ICE CREAM,2910 PILLSBURY AVE,55408,Whittier,44.94969,-93.2821,"[61379, 61380, 230563, 230562, 275936, 333672]","['2017/01/12', '2017/10/18', '2017/11/27', '2018/10/16', '2019/10/16', '2019/11/26']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[100, 90, 100, 96, 80, 96]","Sun, Mar 15, 2020 at 04:27 PM"
385,KIERAN'S IRISH PUB FIRST AVENUE,600 HENNEPIN AVE,55403,Marcy Holmes,44.98947,-93.2513,"[13010, 201510, 201509, 253788, 254414, 263833, 253787, 313632]","['2017/06/14', '2017/07/28', '2018/06/19', '2018/07/11', '2018/08/09', '2018/10/12', '2019/06/11', '2019/07/08']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up']","[88, 100, 86, 92, 90, 98, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
386,KITCHEN SPACE,5750 LYNDALE AVE S,55419,Windom,44.89816,-93.28864,"[226409, 234414, 281211]","['2017/11/30', '2018/12/07', '2019/12/17']","['Routine', 'Routine', 'Routine']","[96, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
387,KOWALSKIS PARKVIEW MARKET,5615 CHICAGO AVE,55417,Diamond Lake,44.90088,-93.26233,"[125770, 125769, 236838, 236837, 285953]","['2017/02/01', '2017/12/19', '2018/01/29', '2018/12/20', '2019/02/17']","['Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Routine']","[94, 94, 100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
388,LAKE HARRIET PIZZA,5009 PENN AVE S,55419,Lynnhurst,44.91194,-93.30832,"[27596, 189462, 243388, 243387, 302212]","['2017/01/24', '2018/02/13', '2018/04/12', '2019/02/28', '2019/04/17']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[100, 92, 100, 88, 100]","Sun, Mar 15, 2020 at 04:27 PM"
389,LAVAZZA COFFEE & COCKTAIL,2910 PILLSBURY AVE,55408,Whittier,44.94969,-93.2821,"[27890, 230759, 234120, 230758, 275944, 333356]","['2017/10/18', '2017/11/27', '2018/01/03', '2018/10/16', '2019/10/16', '2019/11/26']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up']","[86, 92, 96, 96, 90, 96]","Sun, Mar 15, 2020 at 04:27 PM"
390,LOEWS HOTEL - APOTHECARY RESTAURANT,601 1ST AVE N,55403,Downtown West,44.97879,-93.27485,"[40295, 190223, 237049, 286499]","['2017/02/02', '2018/01/02', '2018/12/26', '2019/12/20']","['Routine', 'Routine', 'Routine', 'Routine']","[94, 100, 96, 98]","Sun, Mar 15, 2020 at 04:27 PM"
391,LUMINN HOTEL MINNEAPOLIS,219 4TH ST S,55401,Downtown West,44.97799,-93.26645,"[230856, 236910, 236909, 275876]","['2017/12/29', '2018/01/16', '2018/10/16', '2019/10/22']","['Routine', 'Follow-Up', 'Routine', 'Routine']","[90, 100, 96, 96]","Sun, Mar 15, 2020 at 04:27 PM"
392,LUX BOTTLE CLUB,3836 4TH AVE S,55409,Bryant,44.93295,-93.2705,"[47915, 274649]","['2018/10/03', '2018/12/11']","['Routine', 'Follow-Up']","[98, 100]","Sun, Mar 15, 2020 at 04:27 PM"
393,MARKET BAR-B-QUE,220 LOWRY AVE NE,55418,Bottineau,45.013,-93.26509,"[286813, 303400]","['2019/03/06', '2020/03/04']","['Routine', 'Routine']","[96, 98]","Sun, Mar 15, 2020 at 04:27 PM"
394,MIDNORD EMPANADAS & CHURROS,520 4TH ST N,55401,North Loop,44.98493,-93.27707,[314750],['2019/09/24'],['Routine'],[94],"Sun, Mar 15, 2020 at 04:27 PM"
395,MILLENNIUM HOTEL,1313 NICOLLET MALL,55403,Loring Park,44.97042,-93.27708,"[14395, 201307, 201306, 252157, 252156, 313229]","['2017/06/06', '2017/07/05', '2018/06/05', '2018/07/09', '2019/06/05', '2019/06/25']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[88, 100, 84, 96, 76, 96]","Sun, Mar 15, 2020 at 04:27 PM"
396,MINNEAPOLIS ARMORY,500 6TH ST S,55415,Elliot Park,44.97517,-93.26353,"[237235, 247170, 247169]","['2018/03/29', '2018/04/27', '2019/04/06']","['Routine', 'Follow-Up', 'Routine']","[92, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
397,"MINNEAPOLIS PIZZA HALAL, INC",717 LAKE ST E,55407,Central,44.94813,-93.26429,"[225512, 233209, 233208]","['2017/11/16', '2017/12/19', '2019/05/22']","['Routine', 'Follow-Up', 'Routine']","[100, 100, 94]","Sun, Mar 15, 2020 at 04:27 PM"
398,MINNESOTA HALAL MARKET,1926 CHICAGO AVE,55404,Ventura Village,44.96315,-93.26296,"[21785, 197601, 228056, 228055, 304545, 308373]","['2017/05/03', '2017/10/05', '2017/11/07', '2019/03/19', '2019/04/16', '2019/05/16']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up']","[100, 94, 100, 90, 90, 100]","Sun, Mar 15, 2020 at 04:27 PM"
399,MPLS AERIE #34 F O E,2507 25TH ST E,55406,Seward,44.95712,-93.23579,"[34781, 224330, 224329, 271762, 271761, 329389]","['2017/09/05', '2017/11/02', '2018/09/13', '2018/10/30', '2019/09/12', '2019/11/11']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[80, 98, 90, 100, 84, 92]","Sun, Mar 15, 2020 at 04:27 PM"
400,MY HUONG KITCHEN,2718 NICOLLET AVE #101B,55408,Whittier,44.95308,-93.27841,"[35079, 194139, 247195]","['2017/03/28', '2018/03/30', '2019/03/28']","['Routine', 'Routine', 'Routine']","[100, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
401,NEW YORK GYRO,312 LAKE ST W,55408,Phillips West,44.94859,-93.27185,"[230943, 234634, 236859, 234633, 280671, 337980, 340590, 349680]","['2017/11/28', '2017/12/28', '2018/02/20', '2018/11/29', '2019/11/25', '2020/01/09', '2020/01/23', '2020/02/05']","['Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up']","[76, 88, 96, 92, 68, 78, 86, 96]","Sun, Mar 15, 2020 at 04:27 PM"
402,NOGOB COFFEE SHOP,912 24TH ST E #B133,55404,Ventura Village,44.95968,-93.26037,"[48651, 190338, 242426]","['2017/02/10', '2018/02/07', '2019/02/01']","['Routine', 'Routine', 'Routine']","[100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
403,NUMBER FRY N GRILL,1922 CLINTON AVE,55404,Steven's Square - Loring Heights,44.96298,-93.27185,"[191935, 197677, 197676, 249057, 249056]","['2017/05/02', '2017/06/29', '2018/05/02', '2018/07/10', '2019/07/03']","['Routine', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[74, 96, 92, 100, 96]","Sun, Mar 15, 2020 at 04:27 PM"
404,OUTDOOR GRILL NORTH PLAZA,300 6TH ST S,55487,Downtown West,44.97632,-93.26625,"[199822, 251229]","['2018/05/22', '2019/05/23']","['Routine', 'Routine']","[98, 98]","Sun, Mar 15, 2020 at 04:27 PM"
405,PARK JAVA,300 6TH ST S,55487,Downtown West,44.97632,-93.26625,"[22099, 232520, 279682]","['2017/11/08', '2018/11/15', '2019/11/15']","['Routine', 'Routine', 'Routine']","[100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
