,inspect_name,address,zipcode,neighborhood,latitude,longitude,inspectionidnumber,dateofinspection,inspectiontype,inspectionscore,updated
259,ROCK BOTTOM BREWERY,800 LASALLE AVE,55402,Downtown West,44.97641,-93.27513,"[56676, 230570, 234168, 237416, 230569, 276296, 276295, 332881]","['2017/10/17', '2017/11/29', '2018/01/10', '2018/02/20', '2018/10/15', '2018/12/17', '2019/10/09', '2019/11/18']","['Routine', 'Follow-Up', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[78, 86, 88, 96, 92, 96, 84, 100]","Sun, Mar 15, 2020 at 04:27 PM"
260,ROOTS FOR THE HOME TEAM,353 5TH ST N,55403,North Loop,44.98134,-93.27855,[254877],['2018/09/29'],['Routine'],[100],"Sun, Mar 15, 2020 at 04:27 PM"
261,ROYAL COFFEE,2601 BLOOMINGTON AVE,55407,East Phillips,44.9551,-93.25205,"[56860, 236914]","['2017/12/05', '2019/06/06']","['Routine', 'Routine']","[100, 92]","Sun, Mar 15, 2020 at 04:27 PM"
262,RRS LLC / CHELSEA'S CAFE,3701 NORTH WAYZATA BLVD,55416,Bryn - Mawr,44.96794,-93.32695,[329901],['2020/01/15'],['Routine'],[92],"Sun, Mar 15, 2020 at 04:27 PM"
263,S & S CATERING INC,307 LAKE ST E,55408,Central,44.94813,-93.27246,"[326155, 335784, 338204]","['2019/10/31', '2019/12/03', '2019/12/23']","['Routine', 'Follow-Up', 'Follow-Up']","[76, 78, 98]","Sun, Mar 15, 2020 at 04:27 PM"
264,SAFARI COFFEE,2910 PILLSBURY AVE,55408,Whittier,44.94969,-93.2821,"[57185, 189437, 252876, 252875, 314176]","['2017/01/26', '2018/06/18', '2018/08/27', '2019/06/19', '2019/08/13']","['Routine', 'Routine', 'Follow-Up', 'Routine', 'Follow-Up']","[96, 92, 96, 84, 98]","Sun, Mar 15, 2020 at 04:27 PM"
265,SAHAN RESTAURANT,912 24TH ST E,55404,Ventura Village,44.95968,-93.26037,"[124530, 197078, 63444, 204039, 214898, 204038, 254364, 254363]","['2017/04/27', '2017/05/23', '2017/07/12', '2017/08/10', '2017/09/11', '2018/07/11', '2018/08/14', '2019/06/28']","['Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Follow-Up', 'Routine', 'Follow-Up', 'Routine']","[90, 94, 70, 76, 90, 90, 94, 92]","Sun, Mar 15, 2020 at 04:27 PM"
266,SAINT MARY'S UNIVERSITY OF MINNESOTA,2540 PARK AVE,55404,Phillips West,44.95603,-93.2658,"[230765, 234249, 281074]","['2017/11/29', '2018/12/07', '2019/11/20']","['Routine', 'Routine', 'Routine']","[100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
267,SAMS MARKET,1101 35TH ST W,55408,South Uptown,44.93931,-93.29365,"[246113, 252618, 252617]","['2018/06/01', '2018/07/13', '2019/12/02']","['Routine', 'Follow-Up', 'Routine']","[70, 100, 100]","Sun, Mar 15, 2020 at 04:27 PM"
268,SARAH JANES BAKERY,2853 JOHNSON ST NE,55418,Audubon Park,45.02025,-93.23674,"[64024, 205350, 259467]","['2017/07/06', '2018/07/25', '2019/07/25']","['Routine', 'Routine', 'Routine']","[100, 100, 98]","Sun, Mar 15, 2020 at 04:27 PM"
